deg,rui,ruo,rdi,rdo,gui,guo,gdi,gdo
320,480,2.73,496,4.14,81,0.53,84,0.8
310,481,2.43,493,4.53,80,0.47,84,0.88
300,479,2.06,498,5.06,80,0.41,84,0.98
290,480,1.65,495,5.77,80,0.32,84,1.12
280,477,1.19,491,6.72,80,0.24,84,1.3
270,476,0.71,488,8.01,79,0.14,83,1.55
260,474,0.3,493,9.69,79,0.07,83,1.8
250,472,0.03,498,11.98,79,0.01,83,2.31
240,472,0.14,486,15.12,79,0.03,82,2.92
230,472,0.98,486,19.5,79,0.2,82,3.75
220,470,3.23,487,25.4,78,0.62,82,4.89
210,471,8.15,483,33.74,78,1.57,82,6.48
200,469,18.2,485,45.37,78,3.49,81,8.7
