,theta,ru_rf_ratio,rd_rf_ratio,gu_rf_ratio,gd_rf_ratio,ru_nor_rf,rd_nor_rf,gu_nor_rf,gd_nor_rf
0,20.0,0.005675675675675676,0.008346774193548387,0.00654320987654321,0.009523809523809525,0.03481148280082696,0.02173368254446789,0.03507610853739245,0.04960317460317461
1,25.0,0.005051975051975052,0.00917004048582996,0.005950167348456675,0.010476190476190476,0.030986045130406415,0.023877338025149145,0.03189699240403644,0.05456349206349206
2,30.0,0.00430062630480167,0.010167379990756927,0.0051039462218349305,0.011666666666666667,0.026377683856039672,0.026474252675828654,0.0273606647232713,0.06076388888888889
3,35.0,0.003432708511036678,0.011656565656565655,0.004125,0.013333333333333334,0.021054351961007658,0.03035185709640538,0.022112839179351425,0.06944444444444445
4,40.0,0.0024947589098532493,0.013575757575757576,0.003,0.015537229592446517,0.01530148335549976,0.03534912992856918,0.016082064857710125,0.08092307079399227
5,45.0,0.001491596638655462,0.016413934426229508,0.0017721518987341774,0.018674698795180723,0.009148635986171709,0.04273929446912823,0.00949995392438573,0.0972640562248996
6,50.0,0.0006329113924050633,0.019655172413793102,0.0008786243253420359,0.022289156626506025,0.0038819314756799203,0.051178966591470615,0.004710031128570808,0.11608935742971888
7,55.0,6.342494714587737e-05,0.024382797712331837,0.00012658227848101267,0.02783132530120482,0.0003890138518968884,0.06348895666009562,0.0006785681374561235,0.14495481927710843
8,60.0,0.00029681769033434394,0.031068280354244148,0.0003813397737384009,0.03532115640498367,0.0018205169767430585,0.0808968982224997,0.002044243658028489,0.18396435627595661
9,65.0,0.0020762711864406778,0.040068218710830744,0.002553300140431508,0.04573170731707317,0.012734709103692347,0.10433131715203332,0.013687446153206629,0.2381859756097561
10,70.0,0.006872340425531915,0.05215605749486653,0.007948717948717949,0.05987510713848414,0.0421511682829466,0.13580614140018465,0.04261059919564222,0.31184951634627156
